Time (sec), Heater 1 (%),Temperature 1 (degC), Energy balance (degC), FOPDT (degC)
1.544814181327819824e+02,2.000000000000000000e+01,2.702100000000000080e+01,3.045603831771040859e+01,2.910029369224310614e+01
1.557934212684631348e+02,2.000000000000000000e+01,2.711799999999999855e+01,3.049598456442521410e+01,2.914269834802320958e+01
1.571175258159637451e+02,2.000000000000000000e+01,2.731200000000000117e+01,3.053580135385897165e+01,2.918502664450143413e+01
1.584554955959320068e+02,2.000000000000000000e+01,2.734400000000000119e+01,3.057553324218781654e+01,2.922732638274889894e+01
1.598371672630310059e+02,2.000000000000000000e+01,2.734400000000000119e+01,3.061604010124125352e+01,2.927051556902084428e+01
1.611668715476989746e+02,2.000000000000000000e+01,2.734400000000000119e+01,3.065452797753277991e+01,2.931161337734960881e+01
1.624990878105163574e+02,2.000000000000000000e+01,2.740800000000000125e+01,3.069260739827996076e+01,2.935233465799306529e+01
1.638722653388977051e+02,2.000000000000000000e+01,2.766600000000000037e+01,3.073135991394758548e+01,2.939383751082825924e+01
1.651685333251953125e+02,2.000000000000000000e+01,2.766600000000000037e+01,3.076748393997883113e+01,2.943258247623016644e+01
1.664359300136566162e+02,2.000000000000000000e+01,2.766600000000000037e+01,3.080237863968159218e+01,2.947006198162873147e+01
1.677477061748504639e+02,2.000000000000000000e+01,2.766600000000000037e+01,3.083805828414079997e+01,2.950843924408205510e+01
1.691188840866088867e+02,2.000000000000000000e+01,2.766600000000000037e+01,3.087488440158693948e+01,2.954810843104738893e+01
1.704076440334320068e+02,2.000000000000000000e+01,2.779500000000000171e+01,3.090906495362747819e+01,2.958498223375168124e+01
1.717190396785736084e+02,2.000000000000000000e+01,2.798799999999999955e+01,3.094342149882839976e+01,2.962209937931134363e+01
1.730133371353149414e+02,2.000000000000000000e+01,2.798799999999999955e+01,3.097691541263327508e+01,2.965833700342480483e+01
1.743786413669586182e+02,2.000000000000000000e+01,2.798799999999999955e+01,3.101180588884545841e+01,2.969614142363671405e+01
1.756727809906005859e+02,2.000000000000000000e+01,2.798799999999999955e+01,3.104446488199653231e+01,2.973158043665090133e+01
1.769488363265991211e+02,2.000000000000000000e+01,2.798799999999999955e+01,3.107627886556787189e+01,2.976615199930075661e+01
1.783044908046722412e+02,2.000000000000000000e+01,2.798799999999999955e+01,3.110965984304766607e+01,2.980247958541077580e+01
1.795856463909149170e+02,2.000000000000000000e+01,2.798799999999999955e+01,3.114081573332970265e+01,2.983643567640445937e+01
1.808819413185119629e+02,2.000000000000000000e+01,2.798799999999999955e+01,3.117195818992115619e+01,2.987042602609234976e+01
1.822384231090545654e+02,2.000000000000000000e+01,2.805300000000000082e+01,3.120414065531633696e+01,2.990560357861733110e+01
1.835311117172241211e+02,2.000000000000000000e+01,2.827799999999999869e+01,3.123442793323846445e+01,2.993875876911551615e+01
1.848140110969543457e+02,2.000000000000000000e+01,2.831099999999999994e+01,3.126412210867079011e+01,2.997131165438456080e+01
1.861075394153594971e+02,2.000000000000000000e+01,2.831099999999999994e+01,3.129369985241100949e+01,3.000378377611033898e+01
1.874743998050689697e+02,2.000000000000000000e+01,2.831099999999999994e+01,3.132456382807191630e+01,3.003771855274648317e+01
1.888841032981872559e+02,2.000000000000000000e+01,2.831099999999999994e+01,3.135598004519158621e+01,3.007231443435046359e+01
1.916078445911407471e+02,2.000000000000000000e+01,2.831099999999999994e+01,3.141550713440756226e+01,3.013801809834534140e+01
1.942346875667572021e+02,2.000000000000000000e+01,2.834299999999999997e+01,3.147148168417083980e+01,3.019998717000005328e+01
